# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
847 383 22 8.182000
848 383 18 6.847000
849 383 20 7.617000
850 383 22 8.236000
851 383 23 8.473000
852 382 23 8.319000
853 381 20 7.451000
854 382 22 8.274000
855 382 19 7.169000
856 384 22 8.190000
857 384 20 7.386000
858 384 21 7.611000
859 386 20 7.361000
860 384 21 7.870000
861 384 21 7.896000
862 385 20 7.510000
863 386 22 8.334000
864 386 22 8.236000
865 387 20 7.507000
866 387 21 8.064000
867 385 21 8.186000
868 385 22 8.576000
869 383 19 7.356000
870 383 21 8.001000
871 384 20 7.512000
872 386 20 7.834000
873 384 19 7.198000
874 385 20 7.470000
875 386 20 7.543000
876 388 21 7.714000
877 388 19 7.004000
878 389 19 6.854000
879 387 19 6.909000
880 389 20 7.309000
881 390 19 6.845000
882 381 16 5.863000
883 382 18 6.524000
884 380 11 4.124000
885 381 16 5.823000
886 380 14 5.173000
887 381 15 5.528000
888 382 15 5.490000
889 382 13 4.819000
890 383 10 3.792000
891 382 18 6.527000
892 383 18 6.551000
893 382 16 5.926000
894 382 18 6.551000
895 384 15 5.471000
896 384 17 6.155000
897 385 18 6.484000
898 386 18 6.526000
899 385 17 6.188000
900 383 16 5.787000
901 386 18 6.523000
902 386 17 6.140000
903 386 10 3.777000
904 386 18 6.561000
905 386 16 5.840000
906 385 17 6.095000
907 384 17 6.082000
908 385 14 5.093000
909 385 16 5.949000
910 386 15 5.666000
911 385 14 5.269000
912 384 17 6.372000
913 384 18 6.799000
914 385 18 6.740000
915 387 17 6.515000
916 388 12 4.649000
917 389 13 5.039000
918 387 13 4.928000
919 387 14 5.435000
920 380 12 4.478000
921 381 20 7.305000
922 379 18 6.786000
923 382 19 7.227000
924 382 17 6.525000
925 381 20 7.727000
926 380 20 7.683000
927 383 20 7.601000
928 383 18 6.794000
929 385 19 6.995000
930 384 17 6.267000
931 382 19 7.184000
932 382 21 7.977000
933 381 20 7.640000
934 379 21 7.847000
935 381 21 7.696000
936 380 18 6.678000
937 381 19 7.158000
938 383 19 7.269000
939 383 21 7.985000
940 384 20 7.497000
941 386 19 7.114000
942 384 18 6.754000
943 384 21 7.837000
944 384 18 6.844000
945 384 19 7.262000
946 390 20 7.546000
947 385 20 7.511000
948 385 21 7.829000
949 386 20 7.283000
950 386 21 7.864000
951 382 22 8.389000
952 383 18 6.885000
953 383 20 7.511000
954 385 19 7.074000
955 386 20 7.422000
956 383 21 7.674000
957 385 21 8.022000
958 386 21 8.102000
959 386 20 7.569000
960 386 21 7.957000
961 387 20 7.442000
962 385 18 6.620000
963 385 19 6.886000
964 384 20 7.148000
965 384 21 7.409000
966 383 21 7.394000
967 383 21 7.435000
968 383 21 7.579000
969 383 21 7.433000
970 382 19 6.802000
971 380 20 7.166000
972 380 24 8.510000
973 383 22 7.828000
974 384 20 7.170000
975 379 20 7.392000
976 379 16 5.949000
977 375 18 6.764000
978 375 20 7.523000
979 379 19 7.060000
980 377 20 7.413000
981 380 20 7.398000
982 379 19 7.037000
983 379 12 4.567000
984 379 14 5.288000
985 376 19 6.994000
986 375 17 6.407000
987 373 13 4.890000
988 374 13 5.048000
989 375 14 5.438000
990 384 12 4.618000
991 381 18 6.841000
992 380 17 6.461000
993 382 18 6.810000
994 383 18 6.851000
995 384 19 7.207000
996 384 19 7.073000
997 384 19 7.146000
998 384 18 6.551000
999 383 18 6.711000
1000 382 15 5.766000
1001 382 16 6.177000
1002 389 11 4.338000
1003 388 18 6.877000
1004 389 18 6.890000
1005 387 10 4.025000
1006 387 18 6.922000
1007 388 19 7.095000
1008 387 21 7.704000
1009 390 20 7.451000
1010 389 18 6.908000
1011 390 19 7.274000
1012 389 17 6.604000
1013 390 18 6.919000
1014 390 16 6.070000
1015 390 18 6.735000
1016 387 22 8.058000
1017 387 22 8.380000
1018 387 19 7.282000
1019 385 20 7.533000
1020 386 20 7.427000
1021 387 20 7.402000
1022 387 14 5.230000
1023 387 20 7.559000
1024 387 22 8.311000
1025 388 18 6.930000
1026 387 12 4.735000
1027 384 18 6.843000
1028 387 19 7.093000
1029 384 17 6.315000
1030 385 19 7.210000
1031 385 19 7.286000
1032 385 18 6.923000
1033 385 18 6.906000
1034 385 19 7.265000
1035 385 18 6.707000
1036 383 18 6.675000
1037 384 18 6.860000
1038 385 16 6.152000
1039 385 19 7.267000
1040 385 14 5.360000
1041 384 16 6.217000
1042 385 18 6.698000
1043 384 14 5.270000
1044 384 19 6.841000
1045 383 20 7.159000
1046 384 17 6.173000
1047 383 18 6.416000
1048 382 15 5.336000
